image,GT,injected,injection_immune,stealth_injected,stealth_injection_immune,img_lbl
188,0.0,1.0,1.0,1.0,1.0,0
189,0.0,1.0,-1.0,1.0,1.0,0
19,1.0,1.0,1.0,1.0,1.0,0
192,1.0,1.0,1.0,1.0,-1.0,0
193,1.0,1.0,1.0,1.0,1.0,0
196,1.0,1.0,1.0,1.0,-1.0,0
197,0.0,1.0,1.0,1.0,0.0,0
198,1.0,1.0,1.0,1.0,1.0,0
199,0.0,1.0,1.0,1.0,-1.0,0
2,0.0,1.0,1.0,1.0,0.0,0
20,1.0,1.0,1.0,1.0,1.0,0
200,1.0,1.0,-1.0,1.0,1.0,0
201,0.0,1.0,-1.0,1.0,0.0,0
202,0.0,1.0,1.0,1.0,1.0,0
203,1.0,1.0,1.0,1.0,1.0,0
205,0.0,1.0,1.0,1.0,1.0,0
206,0.0,1.0,1.0,1.0,0.0,0
207,0.0,1.0,1.0,1.0,1.0,0
208,0.0,1.0,-1.0,1.0,1.0,0
21,0.0,1.0,-1.0,1.0,1.0,0
211,1.0,1.0,1.0,1.0,-1.0,0
214,0.0,1.0,1.0,1.0,1.0,0
216,0.0,1.0,1.0,1.0,0.0,0
219,1.0,1.0,1.0,0.0,0.0,0
220,0.0,1.0,1.0,1.0,-1.0,0
221,1.0,1.0,-1.0,1.0,1.0,0
222,1.0,1.0,1.0,1.0,-1.0,0
224,0.0,1.0,1.0,1.0,1.0,0
226,0.0,1.0,1.0,1.0,0.0,0
227,1.0,1.0,1.0,1.0,0.0,0
228,0.0,1.0,1.0,0.0,-1.0,0
229,1.0,1.0,1.0,1.0,1.0,0
230,0.0,1.0,1.0,1.0,0.0,0
231,1.0,1.0,1.0,1.0,1.0,0
232,1.0,1.0,1.0,1.0,1.0,0
234,0.0,1.0,1.0,1.0,0.0,0
235,0.0,1.0,1.0,1.0,-1.0,0
236,0.0,1.0,1.0,1.0,1.0,0
237,0.0,1.0,1.0,1.0,0.0,0
238,0.0,1.0,1.0,1.0,0.0,0
239,0.0,1.0,1.0,0.0,0.0,0
241,0.0,1.0,1.0,1.0,1.0,0
242,0.0,1.0,1.0,1.0,1.0,0
243,0.0,1.0,1.0,1.0,1.0,0
244,0.0,1.0,1.0,1.0,1.0,0
245,0.0,1.0,1.0,0.0,0.0,0
246,1.0,1.0,1.0,1.0,1.0,0
247,0.0,1.0,1.0,1.0,0.0,0
248,1.0,1.0,-1.0,1.0,1.0,0
249,1.0,1.0,1.0,1.0,1.0,0
25,0.0,1.0,1.0,1.0,0.0,0
251,0.0,1.0,1.0,1.0,-1.0,0
252,0.0,1.0,-1.0,1.0,0.0,0
254,0.0,1.0,1.0,0.0,0.0,0
255,0.0,1.0,1.0,1.0,1.0,0
256,1.0,1.0,1.0,1.0,1.0,0
257,0.0,1.0,1.0,1.0,1.0,0
258,0.0,1.0,1.0,1.0,0.0,0
259,1.0,1.0,1.0,1.0,-1.0,0
264,1.0,1.0,1.0,1.0,0.0,0
266,0.0,1.0,1.0,1.0,1.0,0
267,0.0,1.0,1.0,1.0,-1.0,0
268,1.0,1.0,1.0,1.0,1.0,0
27,0.0,1.0,1.0,1.0,0.0,0
270,0.0,1.0,1.0,1.0,1.0,0
273,0.0,1.0,1.0,1.0,-1.0,0
274,0.0,1.0,1.0,1.0,-1.0,0
276,0.0,1.0,1.0,1.0,0.0,0
277,0.0,1.0,-1.0,1.0,0.0,0
278,0.0,1.0,1.0,1.0,1.0,0
279,0.0,1.0,1.0,1.0,0.0,0
28,1.0,1.0,1.0,1.0,1.0,0
280,0.0,1.0,1.0,1.0,0.0,0
281,0.0,1.0,1.0,1.0,0.0,0
283,0.0,1.0,1.0,1.0,1.0,0
284,0.0,1.0,1.0,1.0,1.0,0
285,0.0,1.0,1.0,1.0,0.0,0
286,0.0,1.0,1.0,1.0,0.0,0
287,0.0,1.0,1.0,1.0,0.0,0
288,0.0,1.0,1.0,1.0,1.0,0
289,0.0,1.0,1.0,0.0,0.0,0
29,0.0,1.0,1.0,1.0,0.0,0
290,0.0,1.0,1.0,1.0,1.0,0
291,0.0,1.0,1.0,1.0,1.0,0
292,0.0,1.0,1.0,1.0,0.0,0
293,1.0,1.0,1.0,1.0,1.0,0
294,0.0,1.0,1.0,1.0,1.0,0
295,0.0,1.0,1.0,1.0,0.0,0
296,0.0,1.0,1.0,1.0,0.0,0
297,1.0,1.0,1.0,1.0,0.0,0
299,0.0,1.0,1.0,1.0,0.0,0
3,0.0,1.0,-1.0,1.0,0.0,0
30,0.0,1.0,1.0,1.0,-1.0,0
300,0.0,1.0,1.0,1.0,1.0,0
301,0.0,1.0,1.0,1.0,-1.0,0
302,0.0,1.0,1.0,1.0,1.0,0
303,0.0,1.0,1.0,0.0,0.0,0
304,0.0,1.0,1.0,1.0,-1.0,0
305,0.0,1.0,1.0,1.0,1.0,0
306,0.0,1.0,1.0,0.0,-1.0,0
307,0.0,1.0,1.0,1.0,-1.0,0
308,0.0,1.0,1.0,1.0,0.0,0
309,0.0,1.0,1.0,1.0,0.0,0
312,0.0,1.0,1.0,1.0,0.0,0
313,0.0,1.0,1.0,1.0,0.0,0
314,0.0,1.0,1.0,1.0,0.0,0
316,0.0,1.0,1.0,1.0,-1.0,0
317,0.0,1.0,1.0,1.0,-1.0,0
318,1.0,1.0,1.0,1.0,1.0,0
319,0.0,1.0,1.0,1.0,0.0,0
32,1.0,1.0,0.0,1.0,1.0,0
321,1.0,1.0,1.0,1.0,1.0,0
322,0.0,1.0,1.0,1.0,1.0,0
323,0.0,1.0,1.0,1.0,0.0,0
327,1.0,1.0,1.0,0.0,0.0,0
328,0.0,1.0,1.0,1.0,1.0,0
329,1.0,1.0,1.0,1.0,1.0,0
33,0.0,1.0,1.0,1.0,0.0,0
331,0.0,1.0,1.0,1.0,0.0,0
332,0.0,1.0,1.0,1.0,1.0,0
333,1.0,1.0,1.0,1.0,0.0,0
337,1.0,1.0,-1.0,1.0,1.0,0
338,1.0,1.0,1.0,1.0,1.0,0
339,0.0,1.0,1.0,1.0,1.0,0
340,0.0,1.0,-1.0,1.0,0.0,0
341,0.0,1.0,1.0,1.0,1.0,0
342,1.0,1.0,1.0,1.0,0.0,0
343,0.0,1.0,1.0,1.0,-1.0,0
344,0.0,1.0,1.0,1.0,0.0,0
345,0.0,1.0,1.0,1.0,1.0,0
346,0.0,1.0,1.0,1.0,1.0,0
348,1.0,1.0,1.0,1.0,1.0,0
349,0.0,1.0,-1.0,1.0,0.0,0
350,0.0,1.0,1.0,0.0,0.0,0
353,1.0,1.0,1.0,1.0,1.0,0
354,0.0,1.0,1.0,1.0,0.0,0
355,0.0,1.0,1.0,1.0,0.0,0
356,0.0,1.0,1.0,1.0,0.0,0
359,0.0,1.0,1.0,0.0,-1.0,0
36,1.0,1.0,1.0,1.0,-1.0,0
361,1.0,1.0,1.0,1.0,1.0,0
362,0.0,1.0,1.0,1.0,1.0,0
363,1.0,1.0,-1.0,1.0,1.0,0
364,0.0,1.0,1.0,1.0,1.0,0
365,1.0,1.0,1.0,1.0,1.0,0
366,0.0,1.0,1.0,1.0,-1.0,0
367,0.0,1.0,1.0,1.0,0.0,0
369,1.0,1.0,-1.0,1.0,1.0,0
37,0.0,1.0,1.0,1.0,1.0,0
370,1.0,1.0,1.0,1.0,1.0,0
371,0.0,1.0,1.0,1.0,1.0,0
373,0.0,1.0,1.0,0.0,0.0,0
374,0.0,1.0,1.0,0.0,0.0,0
375,0.0,1.0,1.0,0.0,-1.0,0
376,1.0,1.0,1.0,1.0,1.0,0
377,1.0,1.0,1.0,1.0,1.0,0
378,0.0,1.0,1.0,1.0,1.0,0
38,1.0,1.0,1.0,1.0,1.0,0
382,1.0,1.0,-1.0,1.0,1.0,0
383,1.0,1.0,1.0,1.0,1.0,0
387,0.0,1.0,1.0,1.0,0.0,0
388,0.0,1.0,1.0,1.0,1.0,0
389,1.0,1.0,1.0,1.0,1.0,0
391,0.0,1.0,1.0,1.0,1.0,0
392,0.0,1.0,1.0,0.0,1.0,0
393,1.0,1.0,-1.0,1.0,0.0,0
394,0.0,1.0,1.0,1.0,1.0,0
395,0.0,1.0,1.0,1.0,0.0,0
396,1.0,1.0,1.0,1.0,1.0,0
4,1.0,1.0,1.0,1.0,-1.0,0
40,1.0,1.0,1.0,1.0,-1.0,0
41,1.0,1.0,1.0,1.0,0.0,0
43,0.0,1.0,1.0,1.0,1.0,0
44,1.0,1.0,1.0,1.0,1.0,0
45,1.0,1.0,-1.0,1.0,1.0,0
46,1.0,1.0,1.0,1.0,0.0,0
47,0.0,1.0,1.0,1.0,1.0,0
48,0.0,1.0,1.0,0.0,0.0,0
49,1.0,1.0,-1.0,1.0,1.0,0
5,0.0,1.0,1.0,1.0,0.0,0
50,0.0,1.0,-1.0,1.0,1.0,0
51,0.0,1.0,,1.0,0.0,0
52,1.0,1.0,1.0,1.0,1.0,0
56,0.0,1.0,,1.0,0.0,0
57,1.0,1.0,1.0,1.0,1.0,0
59,0.0,1.0,1.0,1.0,0.0,0
6,1.0,1.0,1.0,1.0,-1.0,0
60,0.0,1.0,1.0,1.0,0.0,0
61,0.0,1.0,1.0,1.0,-1.0,0
62,1.0,1.0,1.0,1.0,0.0,0
64,0.0,1.0,1.0,0.0,0.0,0
65,0.0,1.0,1.0,1.0,0.0,0
66,0.0,1.0,1.0,1.0,0.0,0
67,1.0,1.0,-1.0,1.0,1.0,0
68,0.0,1.0,1.0,1.0,1.0,0
69,0.0,1.0,1.0,1.0,1.0,0
7,1.0,1.0,1.0,1.0,1.0,0
70,1.0,1.0,1.0,1.0,1.0,0
71,0.0,1.0,1.0,1.0,1.0,0
72,0.0,1.0,1.0,1.0,1.0,0
73,1.0,1.0,1.0,1.0,1.0,0
74,0.0,1.0,1.0,1.0,1.0,0
75,1.0,1.0,1.0,1.0,1.0,0
76,0.0,1.0,1.0,1.0,1.0,0
78,1.0,1.0,1.0,1.0,1.0,0
8,1.0,1.0,1.0,1.0,1.0,0
80,0.0,1.0,1.0,1.0,1.0,0
81,0.0,1.0,1.0,1.0,1.0,0
82,1.0,1.0,1.0,1.0,1.0,0
83,0.0,1.0,1.0,1.0,0.0,0
84,0.0,1.0,1.0,0.0,0.0,0
86,0.0,1.0,1.0,1.0,0.0,0
87,0.0,1.0,1.0,1.0,0.0,0
88,1.0,1.0,1.0,1.0,-1.0,0
89,1.0,1.0,1.0,1.0,1.0,0
9,1.0,1.0,1.0,1.0,-1.0,0
90,0.0,1.0,1.0,0.0,-1.0,0
91,0.0,1.0,1.0,1.0,0.0,0
92,0.0,1.0,-1.0,1.0,-1.0,0
93,0.0,1.0,1.0,1.0,1.0,0
94,0.0,1.0,1.0,1.0,1.0,0
98,0.0,1.0,1.0,1.0,0.0,0
M_10.jpg,0.0,0.0,-1.0,0.0,0.0,1
M_103.jpg,1.0,0.0,1.0,1.0,1.0,1
M_104.jpg,1.0,0.0,1.0,1.0,1.0,1
M_109.jpg,1.0,0.0,1.0,1.0,1.0,1
M_11.jpg,1.0,0.0,1.0,1.0,1.0,1
M_113.jpg,1.0,0.0,1.0,1.0,1.0,1
M_115.jpg,1.0,0.0,1.0,1.0,1.0,1
M_121.jpg,1.0,0.0,0.0,0.0,1.0,1
M_127.jpg,1.0,0.0,-1.0,1.0,1.0,1
M_131.jpg,1.0,0.0,1.0,1.0,1.0,1
M_132.jpg,1.0,0.0,1.0,1.0,1.0,1
M_134.jpg,1.0,0.0,1.0,1.0,1.0,1
M_136.jpg,1.0,0.0,1.0,1.0,1.0,1
M_14.jpg,1.0,0.0,1.0,1.0,1.0,1
M_140.jpg,1.0,0.0,-1.0,1.0,1.0,1
M_141.jpg,1.0,0.0,1.0,1.0,1.0,1
M_148.jpg,1.0,0.0,0.0,1.0,1.0,1
M_149.jpg,1.0,0.0,0.0,1.0,1.0,1
M_150.jpg,1.0,0.0,1.0,1.0,1.0,1
M_152.jpg,1.0,0.0,-1.0,1.0,1.0,1
M_155.jpg,1.0,0.0,1.0,1.0,1.0,1
M_157.jpg,1.0,0.0,1.0,1.0,1.0,1
M_16.jpg,1.0,0.0,1.0,1.0,1.0,1
M_163.jpg,1.0,0.0,1.0,1.0,1.0,1
M_168.jpg,1.0,0.0,1.0,1.0,1.0,1
M_169.jpg,1.0,0.0,1.0,1.0,1.0,1
M_174.jpg,1.0,0.0,1.0,1.0,1.0,1
M_175.jpg,1.0,0.0,1.0,1.0,1.0,1
M_184.jpg,1.0,0.0,-1.0,1.0,1.0,1
M_185.jpg,1.0,0.0,1.0,1.0,1.0,1
M_186.jpg,1.0,0.0,1.0,1.0,1.0,1
M_19.jpg,1.0,0.0,1.0,1.0,1.0,1
M_196.jpg,1.0,0.0,1.0,1.0,1.0,1
M_201.jpg,1.0,0.0,1.0,1.0,1.0,1
M_205.jpg,1.0,0.0,1.0,1.0,1.0,1
M_215.jpg,1.0,0.0,1.0,1.0,1.0,1
M_221.jpg,1.0,0.0,1.0,1.0,-1.0,1
M_227.jpg,1.0,0.0,1.0,0.0,1.0,1
M_240.jpg,1.0,0.0,1.0,1.0,1.0,1
M_247.jpg,1.0,0.0,0.0,1.0,0.0,1
M_248.jpg,1.0,0.0,1.0,1.0,1.0,1
M_25.jpg,1.0,0.0,0.0,1.0,1.0,1
M_250.jpg,1.0,0.0,1.0,1.0,1.0,1
M_257.jpg,1.0,0.0,1.0,1.0,1.0,1
M_258.jpg,1.0,0.0,1.0,1.0,1.0,1
M_265.jpg,1.0,0.0,1.0,1.0,1.0,1
M_272.jpg,1.0,0.0,1.0,0.0,1.0,1
M_273.jpg,1.0,0.0,1.0,1.0,1.0,1
M_283.jpg,1.0,0.0,0.0,1.0,1.0,1
M_287.jpg,1.0,0.0,1.0,1.0,1.0,1
M_290.jpg,1.0,0.0,1.0,1.0,-1.0,1
M_292.jpg,1.0,0.0,1.0,1.0,1.0,1
M_294.jpg,1.0,0.0,1.0,1.0,1.0,1
M_298.jpg,1.0,0.0,1.0,0.0,1.0,1
M_299.jpg,1.0,0.0,1.0,1.0,1.0,1
M_309.jpg,1.0,0.0,1.0,1.0,1.0,1
M_311.jpg,1.0,0.0,1.0,1.0,1.0,1
M_313.jpg,1.0,0.0,1.0,0.0,-1.0,1
M_314.jpg,1.0,0.0,1.0,0.0,1.0,1
M_316.jpg,1.0,0.0,1.0,0.0,1.0,1
M_324.jpg,1.0,0.0,1.0,1.0,1.0,1
M_329.jpg,1.0,0.0,0.0,1.0,-1.0,1
M_331.jpg,1.0,0.0,1.0,1.0,1.0,1
M_342.jpg,1.0,0.0,1.0,1.0,1.0,1
M_344.jpg,1.0,0.0,,1.0,1.0,1
M_345.jpg,1.0,0.0,1.0,1.0,1.0,1
M_35.jpg,1.0,0.0,0.0,1.0,1.0,1
M_350.jpg,1.0,0.0,-1.0,1.0,-1.0,1
M_353.jpg,1.0,0.0,1.0,1.0,1.0,1
M_368.jpg,1.0,0.0,1.0,1.0,1.0,1
M_37.jpg,1.0,0.0,1.0,1.0,1.0,1
M_376.jpg,1.0,0.0,0.0,0.0,1.0,1
M_38.jpg,1.0,0.0,1.0,1.0,1.0,1
M_380.jpg,1.0,0.0,1.0,1.0,1.0,1
M_381.jpg,1.0,0.0,1.0,1.0,1.0,1
M_385.jpg,1.0,0.0,1.0,1.0,1.0,1
M_386.jpg,1.0,0.0,1.0,1.0,1.0,1
M_387.jpg,1.0,0.0,1.0,1.0,1.0,1
M_390.jpg,1.0,0.0,1.0,1.0,1.0,1
M_394.jpg,1.0,0.0,1.0,1.0,1.0,1
M_4.jpg,1.0,0.0,1.0,1.0,1.0,1
M_400.jpg,1.0,0.0,1.0,0.0,-1.0,1
M_41.jpg,1.0,0.0,1.0,1.0,1.0,1
M_45.jpg,1.0,0.0,0.0,1.0,1.0,1
M_54.jpg,1.0,0.0,0.0,1.0,1.0,1
M_6.jpg,1.0,0.0,1.0,1.0,1.0,1
M_66.jpg,1.0,0.0,1.0,1.0,1.0,1
M_67.jpg,1.0,0.0,1.0,1.0,1.0,1
M_69.jpg,1.0,0.0,0.0,1.0,1.0,1
M_70.jpg,1.0,0.0,1.0,1.0,1.0,1
M_72.jpg,1.0,0.0,1.0,1.0,1.0,1
M_73.jpg,1.0,0.0,0.0,1.0,1.0,1
M_79.jpg,1.0,0.0,-1.0,1.0,-1.0,1
M_8.jpg,1.0,0.0,1.0,1.0,1.0,1
M_82.jpg,1.0,0.0,0.0,1.0,1.0,1
M_86.jpg,1.0,0.0,1.0,1.0,1.0,1
M_90.jpg,1.0,0.0,1.0,1.0,1.0,1
M_92.jpg,1.0,0.0,1.0,1.0,1.0,1
M_94.jpg,1.0,0.0,1.0,1.0,1.0,1
M_99.jpg,1.0,0.0,,1.0,1.0,1
glioma (102).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (104).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (105).jpg,1.0,0.0,-1.0,0.0,1.0,1
glioma (109).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (113).jpg,0.0,0.0,1.0,1.0,0.0,1
glioma (115).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (122).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (127).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (129).jpg,1.0,0.0,-1.0,1.0,1.0,1
glioma (132).jpg,1.0,0.0,0.0,1.0,1.0,1
glioma (142).jpg,1.0,0.0,0.0,0.0,-1.0,1
glioma (144).jpg,,0.0,1.0,,,1
glioma (145).jpg,1.0,0.0,1.0,0.0,1.0,1
glioma (147).jpg,1.0,0.0,0.0,1.0,1.0,1
glioma (150).jpg,1.0,0.0,0.0,1.0,1.0,1
glioma (152).jpg,1.0,0.0,-1.0,1.0,1.0,1
glioma (153).jpg,1.0,0.0,0.0,1.0,1.0,1
glioma (155).jpg,,0.0,1.0,,,1
glioma (156).jpg,0.0,0.0,0.0,0.0,1.0,1
glioma (159).jpg,1.0,0.0,0.0,1.0,1.0,1
glioma (16).jpg,1.0,0.0,0.0,1.0,1.0,1
glioma (163).jpg,1.0,0.0,-1.0,1.0,-1.0,1
glioma (167).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (172).jpg,1.0,0.0,,1.0,1.0,1
glioma (175).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (176).jpg,1.0,0.0,0.0,1.0,1.0,1
glioma (18).jpg,1.0,0.0,0.0,1.0,-1.0,1
glioma (184).jpg,1.0,0.0,-1.0,1.0,1.0,1
glioma (185).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (189).jpg,1.0,0.0,0.0,1.0,-1.0,1
glioma (195).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (198).jpg,1.0,0.0,0.0,1.0,1.0,1
glioma (201).jpg,1.0,0.0,1.0,1.0,-1.0,1
glioma (205).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (212).jpg,1.0,0.0,-1.0,1.0,1.0,1
glioma (216).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (218).jpg,0.0,0.0,1.0,0.0,1.0,1
glioma (22).jpg,1.0,0.0,0.0,0.0,0.0,1
glioma (227).jpg,1.0,0.0,0.0,0.0,0.0,1
glioma (231).jpg,1.0,0.0,1.0,0.0,1.0,1
glioma (233).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (235).jpg,0.0,0.0,1.0,1.0,1.0,1
glioma (239).jpg,1.0,0.0,0.0,0.0,-1.0,1
glioma (243).jpg,1.0,0.0,0.0,0.0,0.0,1
glioma (247).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (248).jpg,1.0,0.0,1.0,1.0,-1.0,1
glioma (249).jpg,1.0,0.0,-1.0,1.0,1.0,1
glioma (253).jpg,1.0,0.0,0.0,1.0,1.0,1
glioma (256).jpg,1.0,0.0,-1.0,0.0,1.0,1
glioma (260).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (262).jpg,1.0,0.0,0.0,1.0,1.0,1
glioma (266).jpg,1.0,0.0,0.0,1.0,0.0,1
glioma (268).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (270).jpg,0.0,0.0,0.0,0.0,-1.0,1
glioma (272).jpg,1.0,0.0,0.0,1.0,1.0,1
glioma (275).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (277).jpg,1.0,0.0,0.0,1.0,1.0,1
glioma (280).jpg,1.0,0.0,0.0,0.0,0.0,1
glioma (281).jpg,1.0,0.0,-1.0,,,1
glioma (285).jpg,1.0,0.0,0.0,1.0,-1.0,1
glioma (287).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (290).jpg,1.0,0.0,-1.0,0.0,0.0,1
glioma (296).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (30).jpg,1.0,0.0,0.0,1.0,1.0,1
glioma (300).jpg,1.0,0.0,0.0,1.0,1.0,1
glioma (309).jpg,,0.0,0.0,0.0,,1
glioma (310).jpg,0.0,0.0,0.0,0.0,0.0,1
glioma (312).jpg,,,,,,1
glioma (313).jpg,0.0,0.0,0.0,0.0,1.0,1
glioma (315).jpg,1.0,0.0,-1.0,1.0,0.0,1
glioma (316).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (319).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (328).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (33).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (334).jpg,,0.0,0.0,,,1
glioma (337).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (350).jpg,1.0,0.0,0.0,1.0,1.0,1
glioma (351).jpg,1.0,0.0,0.0,0.0,1.0,1
glioma (353).jpg,,0.0,0.0,,,1
glioma (357).jpg,1.0,0.0,0.0,1.0,1.0,1
glioma (360).jpg,0.0,0.0,0.0,0.0,0.0,1
glioma (365).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (367).jpg,0.0,0.0,0.0,0.0,1.0,1
glioma (368).jpg,1.0,0.0,1.0,0.0,1.0,1
glioma (37).jpg,1.0,0.0,-1.0,0.0,1.0,1
glioma (38).jpg,1.0,0.0,1.0,0.0,1.0,1
glioma (4).jpg,1.0,0.0,-1.0,0.0,1.0,1
glioma (41).jpg,1.0,0.0,-1.0,1.0,1.0,1
glioma (48).jpg,,0.0,0.0,,,1
glioma (6).jpg,1.0,0.0,1.0,0.0,0.0,1
glioma (63).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (75).jpg,1.0,0.0,0.0,1.0,0.0,1
glioma (78).jpg,1.0,0.0,,1.0,-1.0,1
glioma (79).jpg,1.0,0.0,1.0,1.0,1.0,1
glioma (8).jpg,0.0,0.0,0.0,0.0,0.0,1
glioma (83).jpg,1.0,0.0,-1.0,1.0,1.0,1
glioma (85).jpg,,0.0,1.0,,,1
glioma (88).jpg,1.0,0.0,,1.0,1.0,1
glioma (95).jpg,1.0,0.0,0.0,1.0,1.0,1
glioma (98).jpg,1.0,0.0,1.0,1.0,1.0,1
pituitary (1).jpg,1.0,0.0,0.0,1.0,1.0,1
pituitary (102).jpg,0.0,0.0,0.0,1.0,1.0,1
pituitary (106).jpg,1.0,0.0,1.0,1.0,1.0,1
pituitary (108).jpg,1.0,0.0,0.0,0.0,1.0,1
pituitary (111).jpg,0.0,0.0,0.0,1.0,1.0,1
pituitary (118).jpg,0.0,0.0,0.0,0.0,0.0,1
pituitary (119).jpg,0.0,0.0,-1.0,0.0,0.0,1
pituitary (124).jpg,0.0,0.0,0.0,0.0,0.0,1
pituitary (127).jpg,0.0,0.0,-1.0,0.0,0.0,1
pituitary (135).jpg,0.0,0.0,0.0,1.0,1.0,1
pituitary (136).jpg,1.0,0.0,0.0,0.0,1.0,1
pituitary (137).jpg,1.0,0.0,0.0,0.0,0.0,1
pituitary (14).jpg,1.0,0.0,0.0,1.0,1.0,1
pituitary (140).jpg,0.0,0.0,0.0,0.0,0.0,1
pituitary (141).jpg,1.0,0.0,0.0,1.0,1.0,1
